pcbasn,voldc,volpoe,login,bspver,irver,sensever,ir,rs485,sense,rs232,relay,audio,usb2.0,usb3.0,wifipower,iperfeth,ethmac,wifimac,SNID,LED,HDMI,reset,power
30398X989210900431,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06173,P,P,-17.17,157.0,F8-57-2E-06-10-ED,CC-4B-73-F4-E4-0E,EL01491A-89210900431,P,P,P,P
30398X989210900571,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.0576,P,P,-16.07,155.0,F8-57-2E-06-10-EE,CC-4B-73-F4-E3-DC,EL01491A-89210900571,P,P,P,P
30398X989210900623,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05689,P,P,-15.73,151.0,F8-57-2E-06-10-EF,CC-4B-73-F3-CD-70,EL01491A-89210900623,P,P,P,P
30398X989210900078,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.06061,P,P,-16.22,136.0,F8-57-2E-06-10-F0,CC-4B-73-F4-C3-DE,EL01491A-89210900078,P,P,P,P
30398X989210900557,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05234,P,P,-16.16,142.0,F8-57-2E-06-10-F1,CC-4B-73-F4-84-A2,EL01491A-89210900557,P,P,P,P
30398X989210900687,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05672,P,P,-15.74,151.0,F8-57-2E-06-10-F2,CC-4B-73-F4-D4-0C,EL01491A-89210900687,P,P,P,P
30398X989210900685,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06082,P,P,-16.63,167.0,F8-57-2E-06-10-F3,CC-4B-73-F4-D4-2E,EL01491A-89210900685,P,P,P,P
30398X989210900542,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05433,P,P,-15.63,146.0,F8-57-2E-06-10-F4,CC-4B-73-F4-84-A8,EL01491A-89210900542,P,P,P,P
30398X989210900683,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05584,P,P,-17.42,170.0,F8-57-2E-06-10-F5,CC-4B-73-F4-D4-14,EL01491A-89210900683,P,P,P,P
30398X989210900143,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.0555,P,P,-16.4,155.0,F8-57-2E-06-10-F6,CC-4B-73-F4-B3-B0,EL01491A-89210900143,P,P,P,P
30398X989210900490,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.05771,P,P,-15.59,148.0,F8-57-2E-06-10-F7,CC-4B-73-F4-D4-42,EL01491A-89210900490,P,P,P,P
30398X989210900679,P,P,P,20210217.150252,03-00-00-03,00-00-00-0f,P,P,P,P,P,0.05719,P,P,-16.5,154.0,F8-57-2E-06-10-F8,CC-4B-73-F3-CD-1E,EL01491A-89210900679,P,P,P,P
30398X989210900457,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05962,P,P,-15.59,154.0,F8-57-2E-06-10-F9,CC-4B-73-F4-E3-E4,EL01491A-89210900457,P,P,P,P
30398X989210900448,P,P,P,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.04939,P,P,-15.99,154.0,F8-57-2E-06-10-FA,CC-4B-73-F4-E3-C2,EL01491A-89210900448,P,P,P,P
